Location,Cuisines,Average_Cost_for_Two,Rating,Votes,Reviews,Delivery_Time
"Mico Layout, Stage 2, BTM Layout,Bangalore","Cafe, Fast Food, Beverages",200.0,3.0,86.0,49.0,30.0
"Sector 1, Noida","Pizza, Fast Food, Italian, Desserts, Beverages",350.0,4.0,1037.0,539.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Arabian, Afghan, Chinese, North Indian",200.0,3.0,22.0,9.0,30.0
Mumbai Central,Lebanese,100.0,3.0,127.0,39.0,45.0
"Delhi High Court, India Gate",North Indian,200.0,2.0,52.0,18.0,30.0
"Nathan Road, Mangaldas Road, Pune","Fast Food, North Indian",200.0,3.0,63.0,26.0,30.0
"Gora Bazar, Rajbari, North Dumdum, Kolkata",North Indian,100.0,3.0,63.0,26.0,30.0
"Dockyard Road, Mumbai CST Area","Fast Food, Mughlai, Chinese",250.0,3.0,5.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Fast Food, Beverages",100.0,3.0,63.0,26.0,30.0
"Sector 14, Noida",North Indian,300.0,3.0,63.0,26.0,30.0
"Panjetan Colony, Malakpet, Hyderabad",South Indian,50.0,3.0,98.0,10.0,30.0
"Dockyard Road, Mumbai CST Area","Ice Cream, Desserts",100.0,3.0,63.0,26.0,30.0
Majestic,Kerala,100.0,3.0,21.0,6.0,30.0
Mumbai Central,"Ice Cream, Desserts, Beverages",100.0,3.0,55.0,29.0,45.0
"D-Block, Sector 63, Noida","North Indian, Chinese",300.0,3.0,4.0,4.0,30.0
"D-Block, Sector 63, Noida",Chinese,100.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Desserts, Fast Food",200.0,3.0,37.0,6.0,30.0
"Rmz Centennial, I Gate, Whitefield","Maharashtrian, Seafood",300.0,4.0,991.0,545.0,65.0
"Sector 1, Noida",North Indian,150.0,3.0,63.0,26.0,30.0
"Sandhurst Road, Mumbai CST Area",Biryani,150.0,3.0,279.0,90.0,65.0
"Rmz Centennial, I Gate, Whitefield","North Indian, Chinese",600.0,3.0,469.0,291.0,45.0
"Sector 1, Noida","North Indian, Chinese",200.0,3.0,123.0,40.0,45.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Odia",150.0,3.0,11.0,4.0,30.0
"Moulali, Kolkata","Mishti, South Indian, Street Food",100.0,3.0,19.0,26.0,30.0
"Sector 1, Noida","Bakery, Fast Food",150.0,3.0,71.0,28.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",Healthy Food,200.0,3.0,18.0,6.0,65.0
"Sandhurst Road, Mumbai CST Area","Seafood, North Indian",250.0,3.0,90.0,40.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",Kerala,200.0,3.0,63.0,26.0,30.0
Delhi University-GTB Nagar,Pizza,100.0,3.0,151.0,12.0,45.0
"Yerawada, Pune, Maharashtra",Chinese,100.0,3.0,63.0,26.0,30.0
Mumbai Central,"Cafe, Desserts",300.0,4.0,2032.0,830.0,65.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Beverages, Desserts, Ice Cream",200.0,3.0,41.0,14.0,45.0
"Delhi Administration Flats, Timarpur",Rolls,100.0,3.0,12.0,1.0,30.0
"Chandni Chowk, Kolkata","Rajasthani, Fast Food, Mishti",100.0,3.0,163.0,24.0,30.0
"Nathan Road, Mangaldas Road, Pune",Street Food,50.0,3.0,263.0,112.0,45.0
"Moulali, Kolkata","Fast Food, Chinese, North Indian",100.0,3.0,63.0,26.0,30.0
"Hyderabad Public School, Begumpet","American, Italian, Continental, Burger, Sandwich",300.0,3.0,19.0,14.0,30.0
"Yerawada, Pune, Maharashtra",Street Food,150.0,3.0,69.0,38.0,45.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Bakery,100.0,3.0,54.0,31.0,30.0
"FTI College, Law College Road, Pune",North Indian,150.0,3.0,161.0,40.0,30.0
"Sector 14, Noida","Raw Meats, North Indian, Fast Food",200.0,3.0,60.0,31.0,30.0
"Sandhurst Road, Mumbai CST Area","Japanese, Sushi",300.0,4.0,155.0,98.0,45.0
"Nathan Road, Mangaldas Road, Pune","North Indian, Chinese, Seafood",500.0,3.0,46.0,32.0,30.0
"Rmz Centennial, I Gate, Whitefield","South Indian, North Indian, Beverages",200.0,3.0,28.0,6.0,45.0
"Delhi Administration Flats, Timarpur",North Indian,200.0,3.0,23.0,9.0,65.0
"Panjetan Colony, Malakpet, Hyderabad",South Indian,100.0,3.0,98.0,10.0,45.0
"MG Road, Pune","South Indian, Maharashtrian",100.0,3.0,13.0,5.0,30.0
Pune University,"Rolls, Fast Food",150.0,4.0,256.0,78.0,30.0
"Yerawada, Pune, Maharashtra","Chinese, Thai, Asian",450.0,4.0,2377.0,1479.0,45.0
Mumbai Central,"Bakery, Desserts",150.0,3.0,72.0,33.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Desserts, Beverages",200.0,4.0,200.0,132.0,30.0
"FTI College, Law College Road, Pune","Biryani, North Indian",100.0,3.0,63.0,26.0,30.0
"FTI College, Law College Road, Pune","Cafe, Fast Food",150.0,2.0,14.0,10.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",Biryani,150.0,3.0,8.0,26.0,30.0
"MG Road, Pune","Asian, Thai, Sushi",500.0,3.0,63.0,26.0,30.0
Majestic,"Fast Food, Beverages, Desserts",100.0,3.0,19.0,8.0,30.0
"Delhi High Court, India Gate","Chinese, North Indian, Mughlai, Continental",650.0,4.0,1144.0,704.0,65.0
"Delhi High Court, India Gate","North Indian, Chinese, Mughlai",200.0,3.0,37.0,21.0,65.0
"D-Block, Sector 63, Noida","Fast Food, Desserts",150.0,3.0,28.0,18.0,30.0
"Dockyard Road, Mumbai CST Area",Fast Food,200.0,3.0,442.0,98.0,45.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Bakery, Fast Food",200.0,3.0,20.0,10.0,30.0
"Tiretti, Kolkata","South Indian, Beverages",150.0,3.0,108.0,80.0,30.0
"Tiretti, Kolkata","Tibetan, Momos",200.0,4.0,410.0,234.0,45.0
"Tejas Nagar Colony, Wadala West, Mumbai","South Indian, North Indian, Chinese, Street Food",200.0,3.0,15.0,6.0,30.0
"D-Block, Sector 63, Noida","Burger, Fast Food, Beverages",200.0,3.0,39.0,20.0,30.0
"Delhi High Court, India Gate","Biryani, North Indian, Andhra",400.0,3.0,2036.0,1252.0,65.0
"FTI College, Law College Road, Pune",Biryani,150.0,3.0,9.0,1.0,30.0
"Sector 1, Noida","North Indian, Mughlai",200.0,4.0,157.0,74.0,45.0
Delhi University-GTB Nagar,"Biryani, Mughlai",300.0,3.0,90.0,54.0,30.0
"Delhi High Court, India Gate","Burger, Fast Food",200.0,4.0,1233.0,581.0,65.0
"Babarpur, New Delhi, Delhi",Rolls,100.0,2.0,4.0,2.0,30.0
"Rmz Centennial, I Gate, Whitefield","South Indian, North Indian, Chinese, Seafood",250.0,3.0,729.0,274.0,65.0
"D-Block, Sector 63, Noida","Pizza, Chinese",150.0,3.0,63.0,26.0,30.0
Mumbai Central,"Street Food, Mithai",100.0,3.0,50.0,20.0,45.0
"Delhi High Court, India Gate","Chinese, North Indian",250.0,3.0,59.0,36.0,45.0
"Rmz Centennial, I Gate, Whitefield","Hyderabadi, Biryani",300.0,3.0,872.0,146.0,65.0
"Sector 14, Noida","Bengali, Mithai",150.0,3.0,17.0,8.0,30.0
Mumbai Central,"North Indian, Chinese, Continental, Seafood",400.0,3.0,239.0,98.0,65.0
Mumbai Central,Continental,550.0,3.0,927.0,290.0,45.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Chinese",200.0,3.0,8.0,5.0,30.0
"D-Block, Sector 63, Noida","Wraps, Fast Food",150.0,3.0,63.0,26.0,30.0
"FTI College, Law College Road, Pune","North Indian, Chinese",200.0,3.0,63.0,26.0,30.0
"Sector 3, Marathalli","Mithai, Street Food",100.0,3.0,22.0,8.0,30.0
"D-Block, Sector 63, Noida",North Indian,100.0,3.0,52.0,18.0,30.0
"Yerawada, Pune, Maharashtra","Fast Food, Pizza, Sandwich, Desserts",200.0,3.0,26.0,6.0,45.0
"D-Block, Sector 63, Noida","Chinese, North Indian",150.0,3.0,14.0,6.0,65.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Pizza, Italian",200.0,3.0,71.0,32.0,30.0
"Delhi High Court, India Gate","North Indian, Chinese, Fast Food, Momos",450.0,3.0,31.0,17.0,65.0
"Sector 1, Noida","South Indian, North Indian, Chinese",300.0,3.0,313.0,140.0,45.0
"D-Block, Sector 63, Noida","Fast Food, Beverages",150.0,3.0,54.0,8.0,30.0
"Nathan Road, Mangaldas Road, Pune","Fast Food, North Eastern, Momos",100.0,2.0,6.0,6.0,30.0
"Rmz Centennial, I Gate, Whitefield","North Indian, Chinese, Street Food, South Indian",200.0,3.0,38.0,12.0,30.0
Pune University,Fast Food,150.0,2.0,42.0,11.0,30.0
"Dockyard Road, Mumbai CST Area","North Indian, Seafood, Fast Food, Continental, Chinese, Desserts, Mughlai",400.0,3.0,550.0,263.0,80.0
"Delhi High Court, India Gate",North Indian,100.0,3.0,63.0,26.0,30.0
"Rmz Centennial, I Gate, Whitefield","Beverages, Fast Food",100.0,3.0,10.0,4.0,30.0
Delhi University-GTB Nagar,"Fast Food, Ice Cream",200.0,3.0,54.0,38.0,45.0
"Babarpur, New Delhi, Delhi","North Indian, South Indian, Chinese",200.0,3.0,27.0,10.0,30.0
Delhi Cantt.,Fast Food,150.0,3.0,16.0,1.0,30.0
Majestic,"Biryani, North Indian, Sandwich, Juices",150.0,3.0,15.0,7.0,30.0
Mumbai Central,"Fast Food, Lebanese",150.0,3.0,63.0,26.0,30.0
"Rmz Centennial, I Gate, Whitefield","North Indian, Chinese, Biryani",200.0,3.0,169.0,49.0,45.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Bakery, Fast Food",200.0,3.0,63.0,26.0,30.0
"Sandhurst Road, Mumbai CST Area","Juices, Beverages",100.0,3.0,35.0,6.0,30.0
"Moulali, Kolkata",Bakery,150.0,2.0,177.0,81.0,120.0
"Babarpur, New Delhi, Delhi",North Indian,400.0,3.0,180.0,125.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",Fast Food,150.0,3.0,7.0,1.0,30.0
Mumbai Central,"Italian, Mexican, Chinese",200.0,3.0,92.0,58.0,45.0
"Rmz Centennial, I Gate, Whitefield","Chinese, Momos",150.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Ice Cream, Desserts",100.0,4.0,25.0,20.0,30.0
"MG Road, Pune","Bakery, Desserts",250.0,4.0,557.0,358.0,45.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Fast Food, Beverages",100.0,3.0,89.0,84.0,30.0
"Yerawada, Pune, Maharashtra","Fast Food, South Indian",150.0,3.0,63.0,26.0,30.0
"Sandhurst Road, Mumbai CST Area","Mughlai, Chinese, Fast Food",200.0,4.0,1387.0,651.0,30.0
Majestic,"Arabian, Chinese, Continental",200.0,3.0,63.0,26.0,30.0
"MG Road, Pune","North Indian, South Indian",200.0,3.0,6.0,3.0,30.0
"Sector 3, Marathalli","Bengali, North Indian, Chinese",100.0,3.0,13.0,8.0,30.0
"Dockyard Road, Mumbai CST Area","Rolls, Chinese, North Indian",200.0,3.0,4.0,3.0,30.0
"MG Road, Pune","Fast Food, Street Food",100.0,3.0,63.0,26.0,30.0
"D-Block, Sector 63, Noida",Rolls,150.0,3.0,20.0,16.0,30.0
"FTI College, Law College Road, Pune","Biryani, North Indian",200.0,3.0,30.0,14.0,30.0
Delhi Cantt.,"Desserts, Fast Food, Burger, Sandwich, Italian",150.0,3.0,41.0,19.0,30.0
"FTI College, Law College Road, Pune","Fast Food, North Indian, Chinese",150.0,3.0,46.0,12.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",South Indian,100.0,3.0,15.0,5.0,30.0
"D-Block, Sector 63, Noida","Mughlai, North Indian",200.0,3.0,63.0,26.0,30.0
"Yerawada, Pune, Maharashtra","North Indian, Biryani, Chinese",350.0,3.0,35.0,8.0,30.0
"Rmz Centennial, I Gate, Whitefield","Chinese, North Indian, South Indian",100.0,3.0,63.0,26.0,30.0
"Rmz Centennial, I Gate, Whitefield","Beverages, Rolls, Sandwich",100.0,3.0,63.0,26.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Mughlai, BBQ",200.0,3.0,12.0,5.0,30.0
"D-Block, Sector 63, Noida","North Indian, Mughlai, Chinese",200.0,3.0,63.0,26.0,30.0
"Sector 3, Marathalli",North Indian,150.0,3.0,13.0,7.0,30.0
"Sector 14, Noida","Bakery, Desserts",150.0,3.0,67.0,20.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Continental, Desserts, Beverages, Sandwich",200.0,3.0,5.0,4.0,30.0
Majestic,"North Indian, Biryani",150.0,3.0,7.0,1.0,30.0
"Sector 14, Noida","Continental, Chinese",200.0,4.0,1952.0,1135.0,30.0
"Delhi High Court, India Gate","Bakery, Desserts",200.0,3.0,51.0,30.0,30.0
"Sector 63A,Gurgaon","North Indian, Mughlai, Chinese, Beverages",200.0,4.0,368.0,176.0,65.0
Majestic,"Fast Food, Ice Cream, Bakery",250.0,4.0,236.0,106.0,45.0
"Delhi Administration Flats, Timarpur",Fast Food,150.0,3.0,48.0,15.0,30.0
Pune University,"Ice Cream, Desserts",100.0,3.0,62.0,10.0,45.0
Mumbai Central,"North Indian, Mughlai, Chinese, Seafood",600.0,3.0,270.0,139.0,30.0
"D-Block, Sector 63, Noida","Biryani, North Indian, Mughlai",200.0,3.0,15.0,9.0,30.0
"Nathan Road, Mangaldas Road, Pune","Asian, Continental, North Indian",450.0,4.0,2709.0,1616.0,45.0
Mumbai Central,"Chinese, Mughlai",150.0,3.0,59.0,12.0,45.0
"Sector 63A,Gurgaon","Pizza, Continental, Italian, Fast Food",400.0,4.0,176.0,137.0,30.0
"Sector 1, Noida",North Indian,150.0,3.0,63.0,26.0,30.0
"Delhi Administration Flats, Timarpur",Rolls,150.0,3.0,51.0,20.0,45.0
"D-Block, Sector 63, Noida","North Indian, Chinese",150.0,3.0,63.0,26.0,30.0
"Sector 3, Marathalli","Chettinad, South Indian, Chinese, Seafood, Rolls, North Indian",250.0,3.0,105.0,30.0,45.0
"Rmz Centennial, I Gate, Whitefield","Andhra, North Indian, Chinese, Biryani",200.0,3.0,127.0,34.0,45.0
"Sector 14, Noida","North Indian, Chinese",200.0,3.0,164.0,26.0,45.0
"D-Block, Sector 63, Noida","Mughlai, North Indian",250.0,3.0,64.0,27.0,30.0
"Dockyard Road, Mumbai CST Area","Desserts, Ice Cream",100.0,4.0,406.0,241.0,45.0
"Gora Bazar, Rajbari, North Dumdum, Kolkata",South Indian,100.0,3.0,75.0,16.0,30.0
Delhi University-GTB Nagar,"North Indian, Fast Food, Beverages",200.0,3.0,22.0,3.0,30.0
"Rmz Centennial, I Gate, Whitefield","Tamil, Biryani, South Indian, Chettinad, North Indian, Chinese",250.0,3.0,163.0,112.0,30.0
"Sector 63A,Gurgaon","Fast Food, Biryani, North Indian, Rolls",150.0,4.0,237.0,150.0,45.0
"Sector 3, Marathalli","Desserts, Ice Cream, Beverages",150.0,4.0,60.0,44.0,45.0
"Delhi Administration Flats, Timarpur","North Indian, Mughlai",150.0,3.0,178.0,39.0,30.0
Majestic,"Fast Food, Street Food, Juices",100.0,3.0,646.0,214.0,45.0
"Chandni Chowk, Kolkata","Cafe, Spanish, Italian, Mexican, Salad, Juices",250.0,4.0,1307.0,794.0,45.0
"Babarpur, New Delhi, Delhi","Chinese, North Indian",150.0,3.0,25.0,18.0,30.0
Pune University,Biryani,150.0,3.0,63.0,26.0,30.0
"D-Block, Sector 63, Noida","North Indian, Chinese, Continental, Beverages",250.0,3.0,22.0,3.0,30.0
"MG Road, Pune","Maharashtrian, North Indian, Chinese",300.0,3.0,37.0,19.0,45.0
Majestic,"Beverages, Ice Cream, Desserts, Sandwich, North Indian",100.0,3.0,4.0,1.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Fast Food, Burger, Italian, Beverages",150.0,3.0,70.0,35.0,45.0
"Nathan Road, Mangaldas Road, Pune",Asian,200.0,3.0,30.0,4.0,45.0
"Tejas Nagar Colony, Wadala West, Mumbai",Chinese,200.0,3.0,5.0,26.0,30.0
"MG Road, Pune",Desserts,150.0,4.0,192.0,110.0,30.0
"FTI College, Law College Road, Pune",Street Food,100.0,3.0,5.0,2.0,30.0
"FTI College, Law College Road, Pune","European, Italian, Pizza, Fast Food",200.0,3.0,63.0,26.0,30.0
"D-Block, Sector 63, Noida","Bakery, Street Food, North Indian",100.0,3.0,8.0,26.0,30.0
"Babarpur, New Delhi, Delhi",North Indian,50.0,3.0,63.0,26.0,30.0
"Sector 3, Marathalli","Chinese, Thai",200.0,3.0,13.0,9.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Cafe, Fast Food, Beverages",150.0,3.0,67.0,28.0,30.0
"Sector 1, Noida",BBQ,250.0,3.0,63.0,26.0,30.0
"Sector 3, Marathalli",Chinese,200.0,4.0,81.0,35.0,30.0
Delhi University-GTB Nagar,"Bakery, Fast Food",150.0,3.0,28.0,8.0,30.0
"Sector 1, Noida",Fast Food,200.0,3.0,25.0,1.0,45.0
"Sector 3, Marathalli","Pizza, Fast Food",200.0,3.0,108.0,60.0,30.0
"Delhi High Court, India Gate","North Indian, South Indian, Chinese, Bakery",200.0,3.0,214.0,116.0,45.0
"Sandhurst Road, Mumbai CST Area",Desserts,300.0,4.0,136.0,82.0,45.0
"Nathan Road, Mangaldas Road, Pune","South Indian, North Indian, Chinese, Street Food",100.0,3.0,179.0,31.0,45.0
"Musi Nagar, Malakpet, Hyderabad",North Indian,200.0,3.0,11.0,3.0,30.0
"Sector 1, Noida","North Indian, Chinese, South Indian",200.0,3.0,297.0,42.0,30.0
"Tejas Nagar Colony, Wadala West, Mumbai",Ice Cream,50.0,3.0,63.0,26.0,30.0
Delhi Cantt.,"Fast Food, Ice Cream, Beverages",200.0,3.0,66.0,30.0,45.0
"Panjetan Colony, Malakpet, Hyderabad",Fast Food,200.0,3.0,8.0,3.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",South Indian,150.0,3.0,63.0,26.0,30.0
Mumbai Central,"Desserts, Beverages",200.0,3.0,27.0,10.0,30.0
"FTI College, Law College Road, Pune","Burger, Fast Food",350.0,3.0,2164.0,1289.0,45.0
"Sandhurst Road, Mumbai CST Area","North Indian, Mughlai, Chinese, Biryani",500.0,3.0,277.0,116.0,65.0
"Sector 1, Noida",Bakery,200.0,2.0,26.0,8.0,120.0
Pune University,"Continental, Italian, Pizza, Burger, Chinese, North Indian, Salad",650.0,3.0,123.0,72.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Fast Food, Beverages",150.0,3.0,95.0,44.0,30.0
"Babarpur, New Delhi, Delhi","Bakery, Desserts",150.0,3.0,10.0,8.0,30.0
"Sector 14, Noida","Chinese, Rolls, Beverages",150.0,2.0,109.0,48.0,30.0
"D-Block, Sector 63, Noida","Fast Food, Healthy Food",150.0,4.0,115.0,67.0,30.0
Mumbai Central,"Iranian, North Indian, Mughlai, Chinese, Bakery",400.0,3.0,197.0,90.0,45.0
Delhi University-GTB Nagar,Pizza,150.0,3.0,148.0,41.0,45.0
"Nathan Road, Mangaldas Road, Pune","Fast Food, North Indian, Beverages",150.0,3.0,10.0,3.0,30.0
Majestic,"Fast Food, Chinese, Street Food",150.0,3.0,63.0,26.0,30.0
"Sector 1, Noida","North Indian, South Indian, Chinese",150.0,3.0,153.0,13.0,45.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Mughlai, Beverages, Fast Food",150.0,2.0,63.0,26.0,30.0
"Sandhurst Road, Mumbai CST Area","Momos, Fast Food",100.0,2.0,20.0,14.0,30.0
"Delhi High Court, India Gate",Healthy Food,200.0,3.0,53.0,17.0,30.0
"Delhi High Court, India Gate","Rolls, Chinese",100.0,3.0,160.0,19.0,45.0
Mumbai Central,Fast Food,150.0,3.0,18.0,1.0,30.0
"Sector 1, Noida",South Indian,200.0,3.0,57.0,25.0,65.0
Mumbai Central,Street Food,100.0,3.0,63.0,26.0,30.0
"Sector 1, Noida",Bakery,100.0,3.0,41.0,16.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Chinese, Mughlai",300.0,3.0,182.0,80.0,65.0
"Sector 3, Marathalli","Andhra, Biryani, Chinese, Hyderabadi, North Indian, South Indian",300.0,4.0,998.0,360.0,45.0
"Tejas Nagar Colony, Wadala West, Mumbai",Chinese,150.0,3.0,6.0,2.0,30.0
"Noorkhan Bazaar, Malakpet, Hyderabad",Hyderabadi,350.0,3.0,7.0,3.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Chinese",200.0,4.0,208.0,93.0,30.0
"Musi Nagar, Malakpet, Hyderabad",South Indian,100.0,3.0,63.0,26.0,30.0
"Dockyard Road, Mumbai CST Area","Biryani, Kebab, Mughlai",200.0,3.0,86.0,40.0,45.0
"Delhi Administration Flats, Timarpur","North Indian, South Indian, Beverages, Desserts",200.0,3.0,63.0,26.0,30.0
"Moulali, Kolkata","Street Food, Mithai",50.0,3.0,63.0,26.0,30.0
"Dockyard Road, Mumbai CST Area","Chinese, Fast Food, Rolls",150.0,4.0,168.0,72.0,30.0
"Sector 1, Noida","Fast Food, Pizza",200.0,3.0,6.0,26.0,30.0
